@relation whatever-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute m_out numeric
@attribute income_per_person numeric
@attribute year numeric
@attribute m_in numeric

@data

?,49.5,18.484162,12067570,6721952,1028,1990,50671
2101624962.5,73.3,119.946788,3281453,178506,4350,1990,58703
62045098374.5482,70.2,10.879594,25912364,905365,10113,1990,258623
?,70.2,235.22,47044,2088,?,1990,20486
1028989393.70295,81.7,115.980851,54511,3469,28417,1990,38137
10027408249.2145,48.6,8.92586,11127870,809632,4232,1990,27759
391570363.454988,73.5,140.695455,61906,21798,17154,1990,11204
141352368714.691,72.5,11.959608,32729740,430045,8539,1990,1565392
2256838858.42714,70.1,124.506322,3544695,899295,3736,1990,564662
?,73.47,345.266667,62148,10571,37014,1990,11099
310954982685.648,77,2.221353,17096869,303406,28604,1990,3948318
166062376739.683,75.7,92.974691,7706571,505334,31053,1990,793239
8858006035.91566,65.6,86.028095,7216503,1634021,8513,1990,357078
4229787378.87456,71.8,718.75942,495944,12274,35398,1990,170701
31598341233.5793,57.9,814.190182,105983136,5449231,1274,1990,641620
2012131370.25539,73,605.52093,260374,84616,12992,1990,18452
17369598958.1159,70.5,50.23171,10231983,1768769,8084,1990,1248782
206431036697.248,76,?,9978241,360794,30798,1990,876683
413050000,71.4,8.222359,187552,36080,5166,1990,29314
1959965330.47596,56.1,44.353237,5001271,233625,1362,1990,63876
1592400000,71.1,1186.52,60931,71352,40553,1990,15030
299787275.842376,61.4,11.461272,535505,28341,2332,1990,21982
4867582620.20708,61.6,6.329037,6856246,224178,3740,1990,72706
?,72.7,88.764627,4526996,843208,2974,1990,54542
3790636664.02546,62.3,2.434694,1379814,25884,8075,1990,25829
461951782000,67.9,17.993614,150393143,497223,10331,1990,770323
?,?,109.726667,16459,3088,?,1990,7516
3520551724.13793,73.8,48.755028,256939,24703,77076,1990,72400
20726301369.863,71.4,78.80583,8821111,615400,9333,1990,19077
3101300779.08364,51.4,32.204068,8811033,1018838,821,1990,326879
1132101252.51817,45.6,218.580257,5613141,337184,1051,1990,273491
?,57.6,51.035894,9008856,354174,996,1990,32682
11151578702.7205,58.4,25.534385,12070359,115243,2768,1990,212475
593929550908.468,77.4,3.056136,27662440,996566,31163,1990,4328215
306891107.262039,68.7,84.678908,341256,91661,1609,1990,7144
?,?,104.204167,25009,370,58535,1990,9314
1440711459.411,48.4,4.715773,2937832,46234,944,1990,57307
