@relation 'whatever-weka.filters.unsupervised.attribute.Remove-R5,7-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute income_per_person numeric
@attribute m_in numeric

@data
238284727566.4374,49.5,18.484162,12067570,1028,50671
2101624962.5,73.3,119.946788,3281453,4350,58703
62045098374.5482,70.2,10.879594,25912364,10113,258623
238284727566.4374,70.2,235.22,47044,15691.875833,20486
1028989393.70295,81.7,115.980851,54511,28417,38137
10027408249.2145,48.6,8.92586,11127870,4232,27759
391570363.454988,73.5,140.695455,61906,17154,11204
141352368714.691,72.5,11.959608,32729740,8539,1565392
2256838858.42714,70.1,124.506322,3544695,3736,564662
238284727566.4374,73.47,345.266667,62148,37014,11099
310954982685.648,77,2.221353,17096869,28604,3948318
166062376739.683,75.7,92.974691,7706571,31053,793239
8858006035.91566,65.6,86.028095,7216503,8513,357078
4229787378.87456,71.8,718.75942,495944,35398,170701
31598341233.5793,57.9,814.190182,105983136,1274,641620
2012131370.25539,73,605.52093,260374,12992,18452
17369598958.1159,70.5,50.23171,10231983,8084,1248782
206431036697.248,76,382.114859,9978241,30798,876683
413050000,71.4,8.222359,187552,5166,29314
1959965330.47596,56.1,44.353237,5001271,1362,63876
1592400000,71.1,1186.52,60931,40553,15030
299787275.842376,61.4,11.461272,535505,2332,21982
4867582620.20708,61.6,6.329037,6856246,3740,72706
238284727566.4374,72.7,88.764627,4526996,2974,54542
3790636664.02546,62.3,2.434694,1379814,8075,25829
461951782000,67.9,17.993614,150393143,10331,770323
238284727566.4374,68.818541,109.726667,16459,15691.875833,7516
3520551724.13793,73.8,48.755028,256939,77076,72400
20726301369.863,71.4,78.80583,8821111,9333,19077
3101300779.08364,51.4,32.204068,8811033,821,326879
1132101252.51817,45.6,218.580257,5613141,1051,273491
238284727566.4374,57.6,51.035894,9008856,996,32682
11151578702.7205,58.4,25.534385,12070359,2768,212475
593929550908.468,77.4,3.056136,27662440,31163,4328215
306891107.262039,68.7,84.678908,341256,1609,7144
238284727566.4374,68.818541,104.204167,25009,58535,9314
1440711459.411,48.4,4.715773,2937832,944,57307
1738605558.05436,53.7,4.731593,5958022,1111,69111
31558927517.2188,73.1,17.674023,13141202,9193,107501
358973230048.399,66.7,120.915506,1154605773,1516,298400
40274204595.2296,71.5,30.889196,34271563,7752,103448
